Subfolder,Alerts,Filestore files,Protocol transactions
base_capture,198,45,150
base_capture_0.5_1,220,16,74
base_capture_0.5_2,222,45,148
base_capture_0.5_3,199,44,150
base_capture_10_1,322,12,62
base_capture_10_2,306,13,63
base_capture_10_3,304,13,56
base_capture_1_1,265,21,94
base_capture_1_2,228,24,106
base_capture_1_3,235,20,87
base_capture_1.5_1,289,14,65
base_capture_1.5_2,213,16,58
base_capture_1.5_3,259,16,74
base_capture_2_1,250,26,111
base_capture_2_2,298,16,75
base_capture_2_3,271,18,78
base_capture_25_1,251,9,23
base_capture_25_2,214,8,28
base_capture_25_3,222,4,21
base_capture_50_1,121,5,17
base_capture_50_2,66,1,5
base_capture_50_3,107,4,9
base_capture_5_1,260,16,73
base_capture_5_2,304,15,62
base_capture_5_3,284,14,46
